'-38.522423','-3.809891','AVENIDA CRISANTO ARRUDA'
'-38.6003996','-3.7152341','AVENIDA D'
'-38.5029846','-3.7248485','AVENIDA DA ABOLICAO'
'-38.5683464','-3.840638','AVENIDA DA ALEGRIA'
'-38.511934','-3.774345','AVENIDA DA ECOLOGIA'
'-38.6055493','-3.7225068','AVENIDA DA INDEPENDENCIA'
'-38.5972565','-3.7493265','AVENIDA DA LIBERDADE'
'-38.5298384','-3.81223','AVENIDA DA SAUDADE'
'-38.5335779','-3.734798','AVENIDA DA UNIVERSIDADE'
'-38.4733102','-3.753511','AVENIDA DAS ADENANTERAS'
'-38.4680824','-3.7517452','AVENIDA DAS CASTANHOLEIRAS'
'-38.4753656','-3.750283','AVENIDA DAS FLAMBOYANTES'
'-38.4722913','-3.7513252','AVENIDA DAS GRAVIOLAS'
'-38.5227793','-3.8394541','AVENIDA DE CONTORNO SUL'
'-38.5505384','-3.7861284','AVENIDA DEDE BRASIL'
'-38.4612299','-3.727113','AVENIDA DIOGUINHO'
'-38.5279753','-3.8731142','AVENIDA DIONISIO LEONEL ALENCAR'
'-38.532861','-3.721626','AVENIDA DO IMPERADOR'
'-38.4971422','-3.8720199','AVENIDA DO QUARTO ANEL VIARIO'
'-38.4970203','-3.8717733','AVENIDA DO QUARTO ANEL VIARIO'
'-38.5018225','-3.86207','AVENIDA DO VAQUEIRO'
'-38.538329','-3.813605','AVENIDA DOIS DE MAIO'
'-38.5526385','-3.8049047','AVENIDA DOIS'
'-38.469382','-3.7360335','AVENIDA DOLOR BARREIRA'
'-38.5420851','-3.732871','AVENIDA DOMINGOS OLIMPIO'
'-38.535289','-3.745228','AVENIDA DOS EXPEDICIONARIOS'
'-38.474725','-3.7478165','AVENIDA DOS FLAMBOYANTES'
'-38.4776252','-3.7841532','AVENIDA DOS FRANCESES'
'-38.4793166','-3.7268017','AVENIDA DOS JANGADEIROS'
'-38.5812956','-3.8387925','AVENIDA DOS MARINHEIROS'
'-38.5330914','-3.8153941','AVENIDA DOS PAROARAS'
'-38.4589559','-3.7920382','AVENIDA DOUTOR CORREIA LIMA'
'-38.5449342','-3.7268046','AVENIDA DUQUE DE CAXIAS'
'-38.6012217','-3.7178842','AVENIDA E'
'-38.480999','-3.789445','AVENIDA EDILSON BRASIL SOARES'
'','','AVENIDA EDUARDO GIRA O'
'-38.544585','-3.7457564','AVENIDA EDUARDO GIRAO'
'-38.5944534','-3.7293815','AVENIDA EMILIA GONCALVES'
'-38.4778064','-3.7340525','AVENIDA ENGENHEIRO ALBERTO SA'
'-38.467359','-3.7940095','AVENIDA EVILASIO ALMEIDA MIRANDA'
'-38.5534548','-3.8057009','AVENIDA EXPEDICIONARIOS'
'-38.6092923','-3.7582134','AVENIDA F'
'-38.5911569','-3.7574785','AVENIDA FERNANDES TAVORA'
'-38.5419249','-3.7167015','AVENIDA FILOMENO GOMES'
'-38.5918941','-3.7091151','AVENIDA FLORENCIO DE ALENCAR'
'-38.5733284','-3.8362401','AVENIDA FRANCISCA MARIA DA CONCEICAO'
'-38.5920759','-3.704176','AVENIDA FRANCISCO SA'
'-38.4956555','-3.8211876','AVENIDA FREI CIRILO'
'-38.6066253','-3.7150336','AVENIDA G'
'-38.599565','-3.760892','AVENIDA GENIBAU'
'-38.4822833','-3.8465771','AVENIDA GILENO LAURINDO DA COSTA'
'-38.5706247','-3.7982592','AVENIDA GODOFREDO MACIEL'
'-38.5913444','-3.727257','AVENIDA GODOFREDO PIMENTEL'
'-38.5533506','-3.7412845','AVENIDA GONCALVES DIAS'
'','','AVENIDA GOVERNADOR LEONEL BRIZOLA'
'-38.4796155','-3.8388584','AVENIDA GURGEL DO AMARAL'
'-38.5255096','-3.8379725','AVENIDA GUTTEMBERG BRAUN'
'-38.6208186','-3.7770382','AVENIDA H'
'-38.5242755','-3.7335105','AVENIDA HERACLITO GRACA'
'-38.4868085','-3.795531','AVENIDA HERMINIO DE CASTRO'
'-38.5485826','-3.7974685','AVENIDA HEROIS DO ACRE'
'-38.5891256','-3.723888','AVENIDA HIDELBRANDO DE MELO'
'-38.5889369','-3.721023','AVENIDA HIDELBRANDO MELO'
'-38.5886849','-3.7166333','AVENIDA HILDEBRANDO DE MELO'
'-38.5884588','-3.7101049','AVENIDA HILDEBRANDO MELO'
'-38.562223','-3.7986265','AVENIDA HOLANDA'
'-38.5634675','-3.7453975','AVENIDA HUMBERTO MONTE'
'-38.599081','-3.7658967','AVENIDA I'
'-38.5365506','-3.7339004','AVENIDA IMPERADOR'
'-38.5904982','-3.7269425','AVENIDA INDEPENDENCIA'
'-38.527562','-3.8437435','AVENIDA IRACEMA'
'-38.4751544','-3.8168213','AVENIDA IZABEL MAIA E SILVA DE ALENCAR'
'-38.5963321','-3.7091805','AVENIDA J'
'-38.475934','-3.721886','AVENIDA JANGADEIRO'
'','','AVENIDA JARDIM FLUMINENSE'
'-38.5998664','-3.811757','AVENIDA JARDIM FLUMINENSE'
'-38.5624103','-3.8405795','AVENIDA JOAO ARAUJO DE LIMA'
'-38.5589783','-3.8261501','AVENIDA JOAO DA ARAUJO LIMA'
'-38.5622546','-3.8407269','AVENIDA JOAO DE ARAUJO LIMA'
'-38.5622707','-3.8398685','AVENIDA JOAO DE ARAUJO LIMA AV N'
'-38.561603','-3.837711','AVENIDA JOAO DE ARAUJO LIMA N'
'-38.5596819','-3.8280948','AVENIDA JOAO DE ARAUJO LIMA'
'-38.6214739','-3.791562','AVENIDA JOAO GENTIL'
'-38.5437661','-3.7460176','AVENIDA JOAO PESSOA'
'-38.4664674','-3.8164525','AVENIDA JOAQUIM FERREIRA'
'-38.4927876','-3.845415','AVENIDA JOSE ARAGAO'
'-38.5465166','-3.7211745','AVENIDA JOSE BASTOS'
'-38.5472664','-3.7664495','AVENIDA JOSE DO PATROCINIO'
'-38.5090521','-3.7868487','AVENIDA JOSE LEON'
'-38.4795889','-3.8105345','AVENIDA JOSE MARTINIANO DE ALENCAR'
'-38.5951877','-3.7060382','AVENIDA JOSE MOREIRA REBOLCAS'
'-38.4882483','-3.7788124','AVENIDA JOSE PHILOMENO GOMES'
'-38.4663924','-3.7177628','AVENIDA JOSE SABOIA'
'-38.6070874','-3.7795745','AVENIDA JOSE TORRES'
'-38.5438154','-3.737196','AVENIDA JOVITA FEITOSA'
'-38.482794','-3.757095','AVENIDA JUAREZ BARROSO'
'-38.5065495','-3.739718','AVENIDA JULIO VENTURA'
'-38.5336309','-3.8187821','AVENIDA JUSCELINO KUBITSCHEK'
'-38.5282496','-3.8118195','AVENIDA JUSCELINO KUBSTCHECK'
'-38.5982257','-3.7127815','AVENIDA K'
'-38.598093','-3.708783','AVENIDA L'
'-38.5625686','-3.8378315','AVENIDA LAGO AZUL'
'-38.5298276','-3.7737067','AVENIDA LAURO VIEIRA CHAVES'
'-38.4960634','-3.784405','AVENIDA LEA POMPEU'
'-38.4694185','-3.710954','AVENIDA LEITE BARBOSA'
'','','AVENIDA LINEL MACHADO'
'-38.5789846','-3.769623','AVENIDA LINEU MACHADO'
'-38.531606','-3.7483065','AVENIDA LUCIANO CARNEIRO'
'-38.5859047','-3.7979335','AVENIDA LUIZ VIEIRA'
'-38.5553761','-3.823054','AVENIDA M'
'-38.6293865','-3.8049425','AVENIDA MACIEL BEZERRA'
'-38.6088831','-3.717262','AVENIDA MAJOR ASSIS'
'-38.4954941','-3.788647','AVENIDA MANOEL DE LIMA VALENTE'
'-38.4467323','-3.805165','AVENIDA MANOEL MAVIGNIER'
'-38.5213444','-3.754345','AVENIDA MANOEL PADILHA'
'-38.4916889','-3.7741717','AVENIDA MARIA ALICE FERRAZ'
'-38.4851189','-3.824821','AVENIDA MEM DE SA'
'-38.6116672','-3.762383','AVENIDA MIL CENTO E CINQUENTA E NOVE'
'-38.6187996','-3.773722','AVENIDA MIL'
'-38.6103791','-3.7666805','AVENIDA MINISTRO ALBUQUERQUE LIMA'
'-38.595679','-3.7400592','AVENIDA MIRTER HULL'
'-38.5707341','-3.7366115','AVENIDA MISTER HULL'
'-38.525771','-3.836348','AVENIDA MONSENHOR AMARILIO RODRIGUES'
'-38.5456165','-3.807816','AVENIDA MOURA MATOS'
'-38.5455334','-3.807433','AVENIDA MOURAS MATOS'
'-38.5955845','-3.7174715','AVENIDA MOZART DE PINHEIRO LUCENA'
'-38.5922021','-3.7065031','AVENIDA MOZART PINHEIRO DE LUCENA'
'-38.5931835','-3.7054443','AVENIDA MOZART PINHEIRO DE LUCENA'
'-38.5958365','-3.719043','AVENIDA MOZART PINHEIRO LUCENA'
'-38.472595','-3.818583','AVENIDA MURITIPUA'
'-38.60638','-3.716838','AVENIDA N'
'-38.4924154','-3.775605','AVENIDA NORTE'
'-38.5736513','-3.839693','AVENIDA NOVA FORTALEZA'
'-38.5610216','-3.8415725','AVENIDA O'
'-38.476824','-3.821921','AVENIDA ODILON GUIMARAES'
'-38.5646351','-3.7322523','AVENIDA OLAVO BILAC'
'-38.4808271','-3.7958715','AVENIDA OLIVEIRA PAIVA'
'-38.597058','-3.791979','AVENIDA OSCAR ARARIPE'
'-38.5925312','-3.795079','AVENIDA OSORIO DE PAIVA'
'-38.5312045','-3.815862','AVENIDA PADARIA ESPIRITUAL'
'-38.5402055','-3.7289885','AVENIDA PADRE IBIAPINA'
'-38.4783889','-3.7633892','AVENIDA PAISAGISTICA'
'-38.4927586','-3.8371635','AVENIDA PALESTINA'
'-38.5086007','-3.873784','AVENIDA PALMEIRAS DOS INDIOS'
'-38.5706905','-3.8332495','AVENIDA PARAISO'
'-38.5546084','-3.782885','AVENIDA PARAJANA'
'-38.5603119','-3.77979','AVENIDA PARANJANA'
'-38.5272889','-3.827216','AVENIDA PARQUE DO COCO'
'-38.557489','-3.706486','AVENIDA PASTEUR'
'-38.5076622','-3.801512','AVENIDA PAULINO ROCHA'
'-38.5584615','-3.7098795','AVENIDA PAUSTER'
'-38.488516','-3.8020495','AVENIDA PEDRO LAZAR'
'-38.5275948','-3.8042905','AVENIDA PEDRO RAMALHO'
'-38.5843233','-3.8150482','AVENIDA PENETRACAO LESTE'
'-38.591514','-3.8127985','AVENIDA PENETRACAO NORTE SUL'
'-38.5857599','-3.8156685','AVENIDA PENETRACAO NORTE'
'-38.5884974','-3.8150665','AVENIDA PENETRACAO OESTE'
'-38.5072395','-3.8305205','AVENIDA PERIMENTRAL'
'-38.5736999','-3.756193','AVENIDA PERNAMBUCO'
'-38.4864331','-3.7719898','AVENIDA PINTO BANDEIRA'
